seller_id,total_orders,cancellation_rate_percent,avg_review_score,risk_score
e603cf3fec55f8697c9059638d6c8eb5,11,9.09091,4.4545,2
508808d438fe2ff972ed13bb8f4a82e2,11,9.09091,4.2727,2
bacb1f0ed56ad24198f5810d2b3fe9a5,42,7.14286,4.0750,2
54065e9aef7e9e9c2dc23b7594db021a,14,7.14286,3.8571,2
c84592044b180dec206770c38603814b,15,6.66667,4.2000,2
38e679b9e0064cd94c6f035707344dae,30,6.66667,3.9310,2
128f9bfbe4c7d5185033914b1de3d39a,16,6.25000,4.7500,2
9a84ba99f5367fdbd4598363496f1ea2,16,6.25000,3.7059,2
4917cee8d902e13428c3ec4b1ca6f315,33,6.06061,4.1563,2
fe49ee029e61e789a1f3a5525f57ba8d,17,5.88235,4.0588,2
c1ed9e3daf6154542826a6996af0fb8c,17,5.88235,4.4118,2
2b1a40c1daabc6ca280c4b815c101841,35,5.71429,3.6286,2
23d7c96d4a1160db1c726b248601b25a,55,5.45455,3.8113,2
e7f3bf1ecd8526eb7f3b18059e6716e5,19,5.26316,4.3684,2
a425f92c199eb576938df686728acd20,19,5.26316,4.3684,2
4a3ccda38b2129705f3fb522db62ca31,78,5.12821,3.7342,2
b19f3ca2ea475913750f25a5c37c8d8f,24,4.16667,2.7917,2
8444e55c1f13cd5c179851e5ca5ebd00,109,3.66972,3.0734,2
821fb029fc6e495ca4f08a35d51e53a5,29,3.44828,3.4286,2
850913d59ce317156b00f3705f1c3edb,34,2.94118,3.3529,2
e8b4225284fbb02d16f200513f1f395d,31,0.00000,4.1935,0
8f54d64f28a993550aa7943f12572959,16,0.00000,3.8125,0
c826c40d7b19f62a09e2d7c5e7295ee2,373,0.00000,4.0431,0
c8c1bea22194a4eefa2dc9a9fa89f536,13,0.00000,5.0000,0
7ad32824caee82087b3e2e5f33b1bf32,184,0.00000,3.7680,0
2d50d6282f8aa2257819a77bfaa0efe0,45,0.00000,3.6444,0
02ecc2a19303f05e59ce133fd923fff7,24,0.00000,4.5417,0
d101c6da914ae3d53f7bee42283f2fe2,16,0.00000,4.0000,0
1025f0e2d44d7041d6cf58b6550e0bfa,1428,0.00000,3.8498,0
1c129092bf23f28a5930387c980c0dfc,220,0.00000,4.1689,0
b4f8921fcc4ff77b66bea6dda43dcd51,20,0.00000,4.6000,0
d98eec89afa3380e14463da2aabaea72,183,0.00000,4.2896,0
2c4c47cb51acd5ea5db5e0ae0e26542a,15,0.00000,4.6000,0
db4350fd57ae30082dec7acbaacc17f9,146,0.00000,4.1241,0
d93844a9c55ba7ce353388bcf849ea56,14,0.00000,4.2143,0
8629c241b3622ac12cd4118afdc8d394,13,0.00000,4.0769,0
be8e909810184b9b19e886129149d8e5,15,0.00000,3.7333,0
4c2b230173bb36f9b240f2b8ac11786e,346,0.00000,3.7609,0
c89cf7c468a48af70aada384e722f9e2,14,0.00000,4.0000,0
527801b552d0077ffd170872eb49683b,92,0.00000,4.4835,0
e819bcfade7b5d88a27325eb6cfd62c5,11,0.00000,3.5455,0
977f9f63dd360c2a32ece2f93ad6d306,25,0.00000,3.8000,0
8daab2245ebdc277c51098d01c5ad8ef,16,0.00000,4.6250,0
83645b1645cdee8953ee54c29ceed564,14,0.00000,4.4286,0
76d5af76d0271110f9af36c92573f765,159,0.00000,4.0823,0
6ec1a01e866584bb679eb9b098345919,32,0.00000,4.1333,0
431af27f296bc6519d890aa5a05fdb11,125,0.00000,3.7840,0
1f9ab4708f3056ede07124aad39a2554,79,0.00000,4.0897,0
87142160b41353c4e5fca2360caf6f92,339,0.00000,4.3666,0
b080809eaacb49e5ca07290981472431,11,0.00000,4.8182,0
b3b17aab11f273023a5f22ca52e1eb70,13,0.00000,4.8462,0
0d33a55da925bbf1ff02af5f6059fc7f,24,0.00000,4.5200,0
1fe5540d7c1c37a595fefbacd5570d9e,25,0.00000,4.2800,0
afa6714acee029b2dfdf357e5579cc03,17,0.00000,4.0588,0
ccf8813e5a7d6c84d865cd38bfc2b130,26,0.00000,4.3846,0
b1a81260566c1bac3114a6d124413f27,54,0.00000,4.2222,0
1b8356dabde1d35e17cef975c3f82730,61,0.00000,4.0820,0
1660ad786c27fd935378b6192a90b417,13,0.00000,4.6154,0
4b9750c8ad28220fe6702d4ecb7c898f,222,0.00000,4.3514,0
1dcfa3835714681d4ba4a93bc1e0fd41,15,0.00000,3.8571,0
b494891378bd8f4560abe576c52deacd,22,0.00000,4.6364,0
968268a686aa05d1f529fb07dff08130,12,0.00000,3.5000,0
d4f117125b59ce73c3302f88ee40c458,17,0.00000,4.8235,0
3c487ae8f8d7542beff5788e2e0aea83,33,0.00000,3.9091,0
5cf13accae3222c70a9cac40818ae839,156,0.00000,4.4387,0
8cc6a0e5738e61a87b03c78b2ba9db4b,26,0.00000,4.1538,0
1e8b33f18b4f7598d87f5cbee2282cc2,140,0.00000,4.2826,0
1f1bb1f0859883505541bdd6606193e5,29,0.00000,4.3103,0
fc906263ca5083d09dce42fe02247800,119,0.00000,4.3583,0
259f7b5e6e482c230e5bfaa670b6bb8f,165,0.00000,4.2061,0
